timestamp,image_path,linear_v,angular_w
20260317_231004_094851,img_20260317_231004_094851.jpg,0.0,0.0
20260317_231004_137391,img_20260317_231004_137391.jpg,0.0,0.0
20260317_231004_184385,img_20260317_231004_184385.jpg,0.0,0.0
20260317_231004_234243,img_20260317_231004_234243.jpg,0.0,0.0
20260317_231004_283542,img_20260317_231004_283542.jpg,0.0,0.0
20260317_231004_324643,img_20260317_231004_324643.jpg,0.0,0.0
20260317_231004_374284,img_20260317_231004_374284.jpg,0.0,0.0
20260317_231004_423451,img_20260317_231004_423451.jpg,0.0,0.0
20260317_231004_478025,img_20260317_231004_478025.jpg,0.0,0.0
20260317_231004_536471,img_20260317_231004_536471.jpg,0.0,0.0
20260317_231004_576618,img_20260317_231004_576618.jpg,0.0,0.0
20260317_231004_628391,img_20260317_231004_628391.jpg,0.0,0.0
20260317_231004_679112,img_20260317_231004_679112.jpg,0.0,0.0
20260317_231004_739387,img_20260317_231004_739387.jpg,0.0,0.0
20260317_231004_790256,img_20260317_231004_790256.jpg,0.0,0.0
20260317_231004_849709,img_20260317_231004_849709.jpg,0.0,0.0
20260317_231004_890815,img_20260317_231004_890815.jpg,0.0,0.0
20260317_231004_940977,img_20260317_231004_940977.jpg,0.0,0.0
20260317_231004_983370,img_20260317_231004_983370.jpg,0.0,0.0
20260317_231005_044439,img_20260317_231005_044439.jpg,0.0,0.0
20260317_231005_093796,img_20260317_231005_093796.jpg,0.0,0.0
20260317_231005_145050,img_20260317_231005_145050.jpg,0.0,0.0
20260317_231005_194590,img_20260317_231005_194590.jpg,0.0,0.0
20260317_231005_245341,img_20260317_231005_245341.jpg,0.0,0.0
20260317_231005_296292,img_20260317_231005_296292.jpg,0.0,0.0
20260317_231005_348366,img_20260317_231005_348366.jpg,0.0,0.0
20260317_231005_400942,img_20260317_231005_400942.jpg,0.0,0.0
20260317_231005_449402,img_20260317_231005_449402.jpg,0.0,0.0
20260317_231005_501132,img_20260317_231005_501132.jpg,0.0,0.0
20260317_231005_540346,img_20260317_231005_540346.jpg,0.0,0.0
20260317_231005_603348,img_20260317_231005_603348.jpg,0.0,0.0
20260317_231005_655874,img_20260317_231005_655874.jpg,0.0,0.0
20260317_231005_706348,img_20260317_231005_706348.jpg,0.0,0.0
20260317_231005_757202,img_20260317_231005_757202.jpg,0.0,0.0
20260317_231005_808383,img_20260317_231005_808383.jpg,0.0,0.0
20260317_231005_858168,img_20260317_231005_858168.jpg,0.0,0.0
20260317_231005_912707,img_20260317_231005_912707.jpg,0.0,0.0
